"""ID""","""Name""","""Desc""","""Value1""","""Value2""","""Value3"""
2000,login,,START GAME,开始游戏,開始遊戲
2001,playerdata,moneylack,Not Enough {0},{0}不足,{0}不足
2002,ui,,START,开始,開始
2003,ui,,OK,确定,確定
2004,ui,,UPGRADE,升级,升級
2005,ui,,BUY,购买,購買
2006,ui,,EQUIP,装备,裝備
2007,ui,,COMBINE,合成,合成
2008,ui,,EQUIPED,已装备,已裝備
2009,ui,,MAX LEVEL,最高级,最高級
2010,ui,,ADD,添加,添加
2011,ui,,CANCEL,取消,取消
2012,ui,,BASE,基础,基礎
2013,ui,,FIRST,首次,首次
2014,ui,,EXIT,退出,退出
2020,ui,,Revive？,复活？,復活？
2021,ui,,Revive,复活,復活
2022,ui,,Back,返回,返回
2023,ui,,Charge sucess! Got {0} diamond.,充值成功！得到{0}钻石。,充值成功！得到{0}鑽石。
2024,ui,,"Insufficient resources, buy it?",资源不足，是否购买？,資源不足，是否購買？
2025,ui,,ENEMIES,敌人,敵人
2026,ui,,Get new items,获得新道具,獲得新道具
2027,ui,,Try to upgrade items,尝试升级道具,嘗試升級道具
2100,ui,,Buy 1 item,购买1个道具,購買1個道具
2101,ui,,Buy 5 items,购买5次初级,購買5次初級
2102,ui,,Purchase 1 premium,购买1次高级,購買1次高級
2103,ui,,5 premium purchases,购买5次高级,購買5次高級
2104,ui,,It is possible to obtain items of level 1 to 2,可能获得1～2级的道具,可能獲得1～2級的道具
2105,ui,,It is possible to obtain items of level 1 to 2,可能获得1～2级的道具,可能獲得1～2級的道具
2106,ui,,It is possible to obtain items of level 2 to 3,可能获得2～3级的道具,可能獲得2～3級的道具
2107,ui,,It is possible to obtain items of level 2 to 3,可能获得2～3级的道具,可能獲得2～3級的道具
11000,stage,starCondition,Clear,通关,通關
11001,stage,starCondition,Clear the game in {0} rounds,在{0}回合内通关,在{0}回合內通關
11002,stage,starCondition,Clear the game with {0}% HP remaining,剩余{0}%HP通关,剩餘{0}%HP通關
11003,stage,starCondition,Activate {0} special item,激活{0}颗特殊果,激活{0}顆特殊果
11004,stage,starCondition,Eliminate {0} traps,消除{0}个陷阱,消除{0}個陷阱
20001,Weapon,weaponSkill,bomb,炸弹,炸彈
20002,Weapon,weaponSkill,missile,飞弹,飛彈
20003,Weapon,weaponSkill,scrap,破片,破片
20004,Weapon,weaponSkill,aim,瞄准,瞄準
20005,Weapon,weaponSkill,bombardment,轰击,轟擊
20006,Weapon,weaponSkill,penetrate,穿透,穿透
20007,Weapon,weaponSkill,cycle,循环,循環
20008,Weapon,weaponSkill,Take notes,留声,留聲
20009,Weapon,weaponSkill,diffusion,扩散,擴散
20010,Weapon,weaponSkill,echo,回声,迴聲
20011,Weapon,weaponSkill,fuse,引信,引信
20012,Weapon,weaponSkill,Mist,迷雾,迷霧
21001,Weapon,weaponSkill,Get a bomb when clearing 4 same fruits,同时消除4颗相同颜色时获得炸弹,同時消除4顆相同顏色時獲得炸彈
21002,Weapon,weaponSkill,Get a missile when clearing 4 same fruits,同时消除4颗相同颜色时获得飞弹,同時消除4顆相同顏色時獲得飛彈
21003,Weapon,weaponSkill,Bomb increases explosion range,炸弹增加爆炸范围,炸彈增加爆炸範圍
21004,Weapon,weaponSkill,Missile increases explosion range,飞弹增加爆炸范围,飛彈增加爆炸範圍
21005,Weapon,weaponSkill,The bomb hits an additional trap,炸弹额外攻击一次陷阱,炸彈額外攻擊一次陷阱
21006,Weapon,weaponSkill,Missile can penetrate traps,飞弹可穿透陷阱,飛彈可穿透陷阱
21007,Weapon,weaponSkill,The bomb explodes again with a certain probability,炸弹以一定概率再次爆炸,炸彈以一定概率再次爆炸
21008,Weapon,weaponSkill,The missile exploded again in a small area after it was triggered,飞弹触发后再次小范围爆炸,飛彈觸發後再次小範圍爆炸
21009,Weapon,weaponSkill,Bomb turns into lightning,炸弹变为闪电,炸彈變為閃電
21010,Weapon,weaponSkill,The missile exploded after impact,飞弹撞击后爆炸,飛彈撞擊後爆炸
21011,Weapon,weaponSkill,The bomb is triggered automatically,炸弹自动触发,炸彈自動觸發
21012,Weapon,weaponSkill,Missile becomes non-attribute,飞弹变为无属性,飛彈變為無屬性
100001,commonitem,money,gold,金币,金幣
100002,commonitem,money,diamond,钻石,鑽石
100003,commonitem,money,Fragments,碎片,碎片
120001,commonitem,gembox,Random gem 1,随机宝石1,隨機寶石1
120002,commonitem,gembox,Random Gems 2,随机宝石2,隨機寶石2
120003,commonitem,gembox,Random Gems 3,随机宝石3,隨機寶石3
120004,commonitem,gembox,Random gem 4,随机宝石4,隨機寶石4
210001,gem,gemattr,Fire damage halved,受到火伤害减半,受到火傷害減半
210002,gem,gemattr,Ice damage is halved,受到冰伤害减半,受到冰傷害減半
210003,gem,gemattr,Wind damage halved,受到风伤害减半,受到風傷害減半
210004,gem,gemattr,Light damage halved,受到光伤害减半,受到光傷害減半
210005,gem,gemattr,Dark damage is halved,受到暗伤害减半,受到暗傷害減半
210006,gem,gemattr,Fire damage will not be restrained,火伤害不会被克制,火傷害不會被克制
210007,gem,gemattr,Ice damage will not be restrained,冰伤害不会被克制,冰傷害不會被克制
210008,gem,gemattr,Wind damage will not be restrained,风伤害不会被克制,風傷害不會被克制
210009,gem,gemattr,Light damage will not be restrained,光伤害不会被克制,光傷害不會被克制
210010,gem,gemattr,Dark damage will not be restrained,暗伤害不会被克制,暗傷害不會被克制
210011,gem,gemattr,HP recovery increased,HP回复增加,HP回復增加
210012,gem,gemattr,Fire attack extra restraint fire attribute,火攻击额外克制火属性,火攻擊額外克制火屬性
210013,gem,gemattr,Ice attack extra restraint ice attribute,冰攻击额外克制冰属性,冰攻擊額外克製冰屬性
210014,gem,gemattr,Wind attack extra restraint wind attribute,风攻击额外克制风属性,風攻擊額外克制風屬性
210015,gem,gemattr,Light attack extra restraint light attribute,光攻击额外克制光属性,光攻擊額外克制光屬性
210016,gem,gemattr,Dark attack extra restraint dark attribute,暗攻击额外克制暗属性,暗攻擊額外克制暗屬性
